Richardson, James E.|Royal Botanic Garden Edinburgh (RBGE)
Sharp, Nicky|Royal Botanic Garden Edinburgh (RBGE)
Cardoso, D.|Royal Botanic Garden Edinburgh (RBGE)
Särkinen, Tiina|Royal Botanic Garden Edinburgh (RBGE)
Alexander, S.|Royal Botanic Garden Edinburgh (RBGE)
Amorim, A.M.|Royal Botanic Garden Edinburgh (RBGE)
Bittrich, V.|Royal Botanic Garden Edinburgh (RBGE)
Celis, M.|Royal Botanic Garden Edinburgh (RBGE)
Daly, D.C.|Royal Botanic Garden Edinburgh (RBGE)
Fiaschi, P.|Royal Botanic Garden Edinburgh (RBGE)
Funk, V.A.|Royal Botanic Garden Edinburgh (RBGE)
Giacomin, L.L.|Royal Botanic Garden Edinburgh (RBGE)
Goldenberg, R.|Royal Botanic Garden Edinburgh (RBGE)
Heiden, G.|Royal Botanic Garden Edinburgh (RBGE)
Iganci. J.|Royal Botanic Garden Edinburgh (RBGE)
Kelloff, C.L.|Royal Botanic Garden Edinburgh (RBGE)
Knapp, S.|Royal Botanic Garden Edinburgh (RBGE)
Lima, H.C. de|Royal Botanic Garden Edinburgh (RBGE)
Machado, A.F.P.|Royal Botanic Garden Edinburgh (RBGE)
Sato, S.|Royal Botanic Garden Edinburgh (RBGE)
Nishimura, T.|Royal Botanic Garden Edinburgh (RBGE)
Uehara, K.|Royal Botanic Garden Edinburgh (RBGE)
Sakanari, H.|Royal Botanic Garden Edinburgh (RBGE)
Tawong, W.|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Hafashimana, D.|Royal Botanic Garden Edinburgh (RBGE)
Eilu, G.|Royal Botanic Garden Edinburgh (RBGE)
Liengola, I.B.|Royal Botanic Garden Edinburgh (RBGE)
Ewango, C.E.N.|Royal Botanic Garden Edinburgh (RBGE)
Hart, T.B.|Royal Botanic Garden Edinburgh (RBGE)
Fér, T.|Royal Botanic Garden Edinburgh (RBGE)
Sida, O.|Royal Botanic Garden Edinburgh (RBGE)
Schmickl, R.E.|Royal Botanic Garden Edinburgh (RBGE)
Záveská, E.|Royal Botanic Garden Edinburgh (RBGE)
Pospisilova, M.|Royal Botanic Garden Edinburgh (RBGE)
Skornickova, J.L.|Royal Botanic Garden Edinburgh (RBGE)
Richardson, James E.|Royal Botanic Garden Edinburgh (RBGE)
Smith, J.J.|SASA
Saddler, G.S.|SASA
McLaren, G.|SASA
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Newman, Mark F.|Royal Botanic Garden Edinburgh (RBGE)
Kress, W.J.|Royal Botanic Garden Edinburgh (RBGE)
Browning, I.|SASA
Fox, A.|SASA
Holmes, R.|SASA
Boer, H. de|Royal Botanic Garden Edinburgh (RBGE)
Newman, Mark|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Droop, A.J.|Royal Botanic Garden Edinburgh (RBGE)
Fér, T.|Royal Botanic Garden Edinburgh (RBGE)
Lê Thị Thu Hiền|Royal Botanic Garden Edinburgh (RBGE)
Hlavatá, K.|Royal Botanic Garden Edinburgh (RBGE)
Lamxay, V.|Royal Botanic Garden Edinburgh (RBGE)
Richardson, James E.|Royal Botanic Garden Edinburgh (RBGE)
Steffen, K.|Royal Botanic Garden Edinburgh (RBGE)
Ju, Tsam|Royal Botanic Garden Edinburgh (RBGE)
Han, Zhi-Tong|Royal Botanic Garden Edinburgh (RBGE)
Ruhsam, Markus|Royal Botanic Garden Edinburgh (RBGE)
Li, Jia-Liang|Royal Botanic Garden Edinburgh (RBGE)
Tao, Wen-Jing|Royal Botanic Garden Edinburgh (RBGE)
Leong-Škorničková, J.|Royal Botanic Garden Edinburgh (RBGE)
Tso, Sonam|Royal Botanic Garden Edinburgh (RBGE)
Slik, J.W.F.|Royal Botanic Garden Edinburgh (RBGE)
Aiba, S.-I.|Royal Botanic Garden Edinburgh (RBGE)
Brearley, F.Q.|Royal Botanic Garden Edinburgh (RBGE)
Cannon, C.H.|Royal Botanic Garden Edinburgh (RBGE)
Forshed, O.|Royal Botanic Garden Edinburgh (RBGE)
Kitayama, K.|Royal Botanic Garden Edinburgh (RBGE)
Miehe, Georg|Royal Botanic Garden Edinburgh (RBGE)
Mao, Kang-Shan|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Cayon-Fernandez, I.|Royal Botanic Garden Edinburgh (RBGE)
Bau, B.B.|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Thompson, D.|Royal Botanic Garden Edinburgh (RBGE)
Ogden, R.|Royal Botanic Garden Edinburgh (RBGE)
Newman, Mark F.|Royal Botanic Garden Edinburgh (RBGE)
Santika, Y.|Royal Botanic Garden Edinburgh (RBGE)
Gufrin|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Schlenzig, A.|SASA
Bau, B.B.|Royal Botanic Garden Edinburgh (RBGE)
Poulsen, Axel D.|Royal Botanic Garden Edinburgh (RBGE)
Green, Sarah|SASA
Nagamasu, H.|Royal Botanic Garden Edinburgh (RBGE)
